ArrSize, Avg, Min, Max, Accuracy
12901,1.958238,1.830401,2.004186,100
13001,1.852919,1.845473,1.876548,100
13101,1.917539,1.890390,1.967331,100
13201,1.847184,1.808045,1.941747,100
13301,2.008687,1.967521,2.055109,100
13401,2.083147,2.080516,2.086113,100
13501,1.885749,1.800089,1.984816,100
13601,1.898455,1.863613,2.025145,100
13701,1.864281,1.806146,1.921903,100
13801,1.882224,1.813492,1.979059,100
13901,1.909928,1.876196,2.043306,100
14001,1.963078,1.920220,1.995572,100
14101,1.825285,1.795546,1.870435,100
14201,2.017698,1.912330,2.050842,100
14301,1.950331,1.912174,1.996014,100
14401,1.942985,1.824665,1.987987,100
14501,1.981290,1.937177,2.060823,100
14601,1.848925,1.808780,1.924183,100
14701,1.902643,1.892796,1.907897,100
14801,1.921193,1.822715,2.071076,100
14901,1.864357,1.835783,1.889873,100
15001,1.861275,1.810613,1.963536,100
15101,1.966016,1.905370,2.029137,100
15201,1.917576,1.826985,2.025722,100
15301,1.912349,1.887524,1.999804,100
15401,1.881753,1.859100,1.988248,100
15501,1.912644,1.892717,1.946391,100
15601,1.953295,1.793795,2.028972,100
15701,1.939383,1.833960,2.010700,100
15801,1.917370,1.874755,2.068983,100
15901,1.985992,1.946293,2.036098,100
16001,1.996364,1.934942,2.326105,100
16101,1.882600,1.878641,1.886405,100
16201,1.832506,1.827974,2.039874,100
16301,1.862143,1.858414,1.894056,100
16401,1.866337,1.767941,1.921834,100
16501,1.916846,1.787831,1.982971,100
16601,1.914757,1.892898,1.951870,100
16701,1.951227,1.910784,1.968744,100
16801,1.915485,1.850426,1.956074,100
16901,1.877062,1.855452,1.893734,100
17001,1.832229,1.783307,1.874713,100
17101,1.915027,1.907491,1.922870,100
17201,1.905885,1.868205,1.948084,100
17301,1.902823,1.817987,2.006300,100
17401,1.892694,1.862249,1.983507,100
17501,1.878783,1.848009,1.903320,100
17601,1.889546,1.805238,1.950855,100
17701,1.932593,1.798373,2.041749,100
17801,1.875284,1.840515,1.934273,100
17901,1.939976,1.889894,2.066365,100
18001,1.902385,1.865341,1.927449,100
18101,1.870065,1.862991,1.880891,100
18201,1.843288,1.821768,1.901489,100
18301,1.842643,1.777335,1.897328,100
18401,1.900929,1.884789,1.979458,100
18501,1.836164,1.789633,1.875412,100
18601,1.992240,1.889952,2.033977,100
18701,1.826978,1.769103,1.899845,100
18801,1.872158,1.839104,1.901761,100
18901,1.888716,1.862229,1.918629,100
19001,1.857967,1.856534,1.964528,100
19101,1.944244,1.929690,1.958798,100
19201,1.843565,1.766106,1.917192,100
19301,1.780901,1.758406,1.946220,100
19401,1.836360,1.810422,1.880161,100
19501,1.839661,1.824829,1.899646,100
19601,1.880404,1.857915,1.896689,100
19701,1.970776,1.887011,2.046292,100
19801,1.904460,1.838190,1.984698,100
19901,1.836979,1.820763,1.921662,100
20001,1.848176,1.764312,1.860557,100
20101,1.921194,1.846525,2.017362,100
20201,1.971187,1.865304,2.053710,100
20301,1.843723,1.839417,1.863701,100
20401,1.934136,1.826724,2.005490,100
20501,1.893691,1.865324,1.918102,100
20601,1.815767,1.785496,1.879278,100
20701,1.947866,1.821941,2.011159,100
20801,1.893732,1.878804,1.952214,100
20901,1.840631,1.799053,1.967514,100
21001,1.875134,1.867292,1.912147,100
21101,1.874082,1.851334,1.903085,100
21201,1.855490,1.827603,1.928352,100
21301,1.885563,1.880193,1.896108,100
21401,1.822369,1.807299,1.839774,100
21501,1.903901,1.758895,2.000884,100
21601,1.822740,1.782140,1.873848,100
21701,1.905645,1.863509,1.965163,100
21801,1.921332,1.842668,1.990872,100
21901,1.872217,1.775398,1.973608,100
22001,1.843147,1.816599,1.899005,100
22101,1.836954,1.793086,1.895254,100
22201,1.911414,1.796451,1.954281,100
22301,1.839689,1.825837,1.871979,100
22401,1.874916,1.859471,1.908709,100
22501,1.858186,1.792231,1.885961,100
22601,1.954105,1.866776,2.035751,100
22701,1.927613,1.861724,2.023832,100
22801,1.935324,1.868997,1.990000,100
22901,1.900404,1.780097,1.923235,100
23001,1.967667,1.910221,2.195861,100
23101,1.863313,1.814727,1.910826,100
23201,1.852129,1.779880,1.868799,100
23301,1.840592,1.803141,1.849406,100
23401,1.884641,1.834623,1.934447,100
23501,1.871535,1.751415,2.003234,100
23601,1.895092,1.838905,1.951273,100
23701,1.850684,1.772161,1.902240,100
23801,1.876314,1.867232,1.888786,100
23901,1.925188,1.791431,2.022133,100
24001,1.857727,1.815008,1.897963,100
24101,1.840445,1.759844,1.870047,100
24201,1.836619,1.814718,1.880212,100
24301,1.888731,1.873462,1.903913,100
24401,1.899706,1.839720,1.910414,100
24501,1.881092,1.824252,1.934452,100
24601,1.896520,1.836998,1.942238,100
24701,1.890056,1.845796,1.941095,100
24801,1.902923,1.848111,1.923269,100
24901,1.907280,1.844504,2.029356,100
25001,1.825759,1.791848,1.855926,100
25101,1.898296,1.861719,1.936496,100
25201,1.878763,1.807706,1.925043,100
25301,1.889761,1.822695,1.917632,100
25401,1.838589,1.817566,1.917169,100
25501,1.821961,1.807655,1.843104,100
25601,1.816433,1.766884,1.833796,100
25701,1.859472,1.810980,1.943893,100
25801,1.900606,1.847293,1.913259,100
25901,1.908289,1.844099,1.983669,100
26001,1.846766,1.784162,1.928657,100
26101,1.815902,1.763419,2.004291,100
26201,1.840276,1.805122,1.950384,100
26301,1.817412,1.809551,1.825748,100
